Offer Title,Coupon Code,Description,Eligible Credit Cards,Eligible Debit Cards
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Play Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Play Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank SalarySe Up RuPay Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Shoprite Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank VCard,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank World Max Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank World Max MasterCard Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank World Plus Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank World Plus MasterCard Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank World Prime Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank World Prime Visa Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank World Safari Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank iGlobe Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Platinum Maxima Plus Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",TVS Credit RBL Bank Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",TVS Credit RBL Bank Gold Mastercard Card,
"Get 7.5% off on select Smartphones, Tablets & Laptops using RBL Bank Credit Cards",RBLCCGADGETS,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??5000 on orders above ??9999. Valid only on select Smartphones, Tablets & Laptops category. Applicable once per user per month. Valid on payments made using RBL Bank Credit Cards.",IRCTC RBL Bank Credit Card,
"Get 7.5% off on select Smartphones, Tablets & Laptops using RBL Bank Credit Cards",RBLCCGADGETS,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??5000 on orders above ??9999. Valid only on select Smartphones, Tablets & Laptops category. Applicable once per user per month. Valid on payments made using RBL Bank Credit Cards.",IndianOil RBL Bank Credit Card,
"Get 7.5% off on select Smartphones, Tablets & Laptops using RBL Bank Credit Cards",RBLCCGADGETS,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??5000 on orders above ??9999. Valid only on select Smartphones, Tablets & Laptops category. Applicable once per user per month. Valid on payments made using RBL Bank Credit Cards.",IndianOil RBL Bank RuPay Credit Card,
"Get 7.5% off on select Smartphones, Tablets & Laptops using RBL Bank Credit Cards",RBLCCGADGETS,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??5000 on orders above ??9999. Valid only on select Smartphones, Tablets & Laptops category. Applicable once per user per month. Valid on payments made using RBL Bank Credit Cards.",IndianOil RBL Bank XTRA RuPay Credit Card,
"Get 7.5% off on select Smartphones, Tablets & Laptops using RBL Bank Credit Cards",RBLCCGADGETS,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??5000 on orders above ??9999. Valid only on select Smartphones, Tablets & Laptops category. Applicable once per user per month. Valid on payments made using RBL Bank Credit Cards.",Indianoil RBL Bank Xtra Credit Card,
"Get 7.5% off on select Smartphones, Tablets & Laptops using RBL Bank Credit Cards",RBLCCGADGETS,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??5000 on orders above ??9999. Valid only on select Smartphones, Tablets & Laptops category. Applicable once per user per month. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Bankbazaar Savemax Credit Card,
"Get 7.5% off on select Smartphones, Tablets & Laptops using RBL Bank Credit Cards",RBLCCGADGETS,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??5000 on orders above ??9999. Valid only on select Smartphones, Tablets & Laptops category. Applicable once per user per month. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Bankbazaar Savemax Pro Credit Card,
"Get 7.5% off on select Smartphones, Tablets & Laptops using RBL Bank Credit Cards",RBLCCGADGETS,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??5000 on orders above ??9999. Valid only on select Smartphones, Tablets & Laptops category. Applicable once per user per month. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Binge Credit Card,
"Get 7.5% off on select Smartphones, Tablets & Laptops using RBL Bank Credit Cards",RBLCCGADGETS,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??5000 on orders above ??9999. Valid only on select Smartphones, Tablets & Laptops category. Applicable once per user per month. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Binge MasterCard Credit Card,
"Get 7.5% off on select Smartphones, Tablets & Laptops using RBL Bank Credit Cards",RBLCCGADGETS,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??5000 on orders above ??9999. Valid only on select Smartphones, Tablets & Laptops category. Applicable once per user per month. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Cookie Credit Card,
"Get 7.5% off on select Smartphones, Tablets & Laptops using RBL Bank Credit Cards",RBLCCGADGETS,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??5000 on orders above ??9999. Valid only on select Smartphones, Tablets & Laptops category. Applicable once per user per month. Valid on payments made using RBL Bank Credit Cards.",RBL Bank DMI Finance Credit Card,
"Get 7.5% off on select Smartphones, Tablets & Laptops using RBL Bank Credit Cards",RBLCCGADGETS,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??5000 on orders above ??9999. Valid only on select Smartphones, Tablets & Laptops category. Applicable once per user per month. Valid on payments made using RBL Bank Credit Cards.",RBL Bank EasySaver Credit Card,
"Get 7.5% off on select Smartphones, Tablets & Laptops using RBL Bank Credit Cards",RBLCCGADGETS,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??5000 on orders above ??9999. Valid only on select Smartphones, Tablets & Laptops category. Applicable once per user per month. Valid on payments made using RBL Bank Credit Cards.",RBL Bank EasySaver Visa Credit Card,
"Get 7.5% off on select Smartphones, Tablets & Laptops using RBL Bank Credit Cards",RBLCCGADGETS,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??5000 on orders above ??9999. Valid only on select Smartphones, Tablets & Laptops category. Applicable once per user per month. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Icon Credit Card,
"Get 7.5% off on select Smartphones, Tablets & Laptops using RBL Bank Credit Cards",RBLCCGADGETS,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??5000 on orders above ??9999. Valid only on select Smartphones, Tablets & Laptops category. Applicable once per user per month. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Insignia Preferred Banking Card,
