Offer Title,Coupon Code,Description,Eligible Credit Cards,Eligible Debit Cards
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",IndianOil RBL Bank XTRA RuPay Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Indianoil RBL Bank Xtra Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank Bankbazaar Savemax Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank Bankbazaar Savemax Pro Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank Binge Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank Binge MasterCard Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank Cookie Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank DMI Finance Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank EasySaver Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank EasySaver Visa Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank Icon Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank Insignia Preferred Banking Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank Lazy Pay Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank Mocash Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank MoneyTap Black Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank MoneyTap Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank Monthly Treats Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank Movies and More Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank MyFirst Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank MyFirst Mastercard Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank Novio RuPay Credit Card,
Flat ?100 OFF,RBLCC100,"Valid on RBL Bank Credit Cards. Minimum cart ?999. Valid Oct 01  Oct 22. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",RBL Bank Paisabazaar Duet Card,
